parameter_name,lens
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
pvalue,0.3802016
gene_symbol,Hspa5
parameter_id,M-G-P_014_001_009
analysis_id,i9689vmvenoa4pi
