mouse_strain,C57BL
pvalue,0.6115455
parameter_id,MGP_MLN_065_001
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
analysis_id,39o84hrxuo499pw
mouse_life_stage,Early adult
parameter_name,CD4+ T helper cells - % of CD45+
