parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
gene_symbol,Bcs1l
mouse_life_stage,Early adult
pvalue,0.09341327
mouse_strain,C57BL
gene_accession_id,MGI:1914071
analysis_id,0ayvas5k851l84z
