gene_symbol,Ap5s1
analysis_id,y39wb9v4zi2t34b
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_005_002
mouse_strain,C57BL
pvalue,0.1489905
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
