parameter_name,Hematocrit
gene_symbol,Abo
analysis_id,o10491q0bt5jkqw
gene_accession_id,MGI:2135738
pvalue,0.716
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_004_001
mouse_strain,C57BL
