analysis_id,i7yg8x2u1b85wm5
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_name,PP3 + pulse startle magnitude
parameter_id,ESLIM_011_001_009
pvalue,0.8843521
mouse_strain,C57BL
