analysis_id,ibt54j5661n504v
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cd52
gene_accession_id,MGI:1346088
parameter_id,MGP_IMM_089_001
pvalue,0.3368754
