analysis_id,o9re509b6gc6130
mouse_life_stage,E18.5
pvalue,0.9436871
gene_accession_id,MGI:2446186
parameter_name,Eosinophils
parameter_id,IMPC_IMM_052_001
gene_symbol,Lpgat1
mouse_strain,C57BL
