analysis_id,9wldce19c6hidbm
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_019_001
mouse_strain,C51BL
pvalue,0.2868576
gene_symbol,Pld1
parameter_name,Mean platelet volume
gene_accession_id,MGI:109585
