analysis_id,998j85o0i4xzize
mouse_life_stage,E9.5
gene_symbol,Orc2
pvalue,0.8353565
parameter_name,18kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_accession_id,MGI:1328306
parameter_id,IMPC_ABR_008_001
