gene_symbol,Cpa3
pvalue,0.5125072
gene_accession_id,MGI:88479
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_027_001
parameter_name,Persistence of hyaloid vascular system
analysis_id,u9thd665768p337
