analysis_id,9ta0k47k5bir8ev
mouse_life_stage,Early adult
pvalue,0.3097456
parameter_name,Center permanence time
gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_id,IMPC_OFD_016_001
