gene_symbol,Tbl1xr1
parameter_name,Whole arena resting time
analysis_id,f6142m0h2j6r60c
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4098684
gene_accession_id,MGI:2441730
parameter_id,HRWLLA_OFD_007_001
