parameter_id,IMPC_HEM_039_001
mouse_life_stage,Early adult
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:105072
gene_symbol,Rab22a
mouse_strain,C57BL
analysis_id,2vz96r50c7w0t6y
pvalue,0.08030519
