gene_symbol,Cntfr
mouse_life_stage,Early adult
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:99605
analysis_id,629ns9bcm63b4o1
parameter_name,Center distance travelled
pvalue,0.2375184
mouse_strain,C57BL
