parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
pvalue,0.4466552
gene_accession_id,MGI:2443129
analysis_id,x1w9gi7m1gru47u
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Golm2
