analysis_id,so0sntn3334c6u2
pvalue,1.301565
mouse_strain,C57BL
gene_symbol,Ahctf1
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
