analysis_id,kz462f559sh48v0
gene_symbol,Extl1
pvalue,0.7832825
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
parameter_name,HRV
