gene_symbol,Kcng1
mouse_strain,C57BL
pvalue,0.5640994
gene_accession_id,MGI:3616086
parameter_name,Skull shape
mouse_life_stage,Early adult
analysis_id,4in55n4p777a1f9
parameter_id,CCP_XRY_001_001
