analysis_id,i2kr093y3w679om
pvalue,0.3480612
gene_symbol,Mgst2
mouse_strain,C57BL
parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
