parameter_name,Eye
gene_symbol,Trim46
mouse_strain,C57BL
analysis_id,0yft4l0o67s8ug9
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
parameter_id,M-G-P_013_001_001
pvalue,0.4474251
