analysis_id,38f58yrsuth5ol1
parameter_name,Femur
gene_symbol,Ola1
pvalue,0.2316269
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
parameter_id,IMPC_XRY_024_001
mouse_strain,C57BL
