parameter_id,IMPC_GRS_011_001
analysis_id,59cqk8e3re9zq64
mouse_life_stage,Early adult
pvalue,0.07906728
gene_symbol,Col6a3
mouse_strain,C57BL
gene_accession_id,MGI:88461
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
