parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7j387yqr32b5680
parameter_id,IMPC_IPG_010_001
gene_symbol,Extl1
pvalue,0.9906954
