parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Late adult
analysis_id,6345n79rcvkwk43
pvalue,0.4763898
gene_accession_id,MGI:109356
mouse_strain,C57BL
gene_symbol,Snap23
parameter_id,IMPC_HEM_006_001
