parameter_name,DN NKT cells
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
analysis_id,vebb52n97yafktb
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_013_001
pvalue,0.7315236
