gene_symbol,Cd52
analysis_id,yl37kb62t7a591d
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
mouse_strain,C57BL
pvalue,0.4462825
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
