parameter_id,IMPC_ECG_004_001
pvalue,0.8960801
parameter_name,RR
gene_accession_id,MGI:1913838
analysis_id,2sga76255t56p1a
gene_symbol,Cmpk1
mouse_life_stage,Early adult
mouse_strain,C57BL
