gene_symbol,Gja10
pvalue,0.7810197
gene_accession_id,MGI:1339969
mouse_life_stage,Early adult
analysis_id,t6t13l68y38047z
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
