analysis_id,17a6lqe983544b1
gene_symbol,Rab22a
parameter_name,% Pre-pulse inhibition - Global
gene_accession_id,MGI:105072
pvalue,0.2466084
mouse_strain,C57BL
parameter_id,IMPC_ACS_037_001
mouse_life_stage,Early adult
