gene_symbol,Ap5s1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916846
analysis_id,5k99gpm123mb40i
parameter_id,MGP_IMM_067_001
pvalue,0.9112263
parameter_name,CD11b-low cDC - % of cDC
