parameter_name,Neutrophil cell count
gene_symbol,Rgs20
mouse_strain,C57BL
gene_accession_id,MGI:1929866
analysis_id,28n6zsr1oe3c9ty
pvalue,0.6823783
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Early adult
