analysis_id,22j3ua7dxj9t3k7
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:104848
mouse_strain,129SV
parameter_name,Periphery resting time
mouse_life_stage,Early adult
pvalue,0.08808918
gene_symbol,Inpp1
