analysis_id,2sjcu086ecc0q8n
mouse_strain,C57BL
gene_symbol,Kifap3
parameter_name,Total cholesterol
pvalue,0.410242
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
