parameter_name,Ulna
mouse_life_stage,E12.5
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,IMPC_XRY_023_001
pvalue,0.8930917
mouse_strain,C57BL
analysis_id,6axf7kb19h9t31x
