parameter_name,Centre distance travelled
parameter_id,ESLIM_007_001_010
gene_accession_id,MGI:2673000
mouse_strain,C57BL
pvalue,0.1670399
gene_symbol,Trim46
mouse_life_stage,Early adult
analysis_id,2bid78z469a7cme
