parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:1914583
gene_symbol,Stk35
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,4yt2h51y5p9g2p2
pvalue,0.5467539
