gene_symbol,Ap5s1
mouse_strain,C57BL
gene_accession_id,MGI:1916846
parameter_name,Startle Response
mouse_life_stage,Early adult
analysis_id,749yx39ukd7r9pq
parameter_id,M-G-P_008_001_013
pvalue,0.326125
