analysis_id,86kz1kr89v30463
gene_accession_id,MGI:1341628
gene_symbol,Atrn
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
pvalue,0.9208864
mouse_life_stage,Early adult
mouse_strain,C57BL
