mouse_strain,129SV
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Zmynd8
analysis_id,3xmmxb321j371c7
pvalue,0.3174526
