parameter_name,NK cell number
analysis_id,tk69gr578ds7889
gene_accession_id,MGI:2140475
pvalue,0.1959841
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
gene_symbol,AU040320
mouse_life_stage,Early adult
