analysis_id,ib3948v66d756bn
mouse_life_stage,Early adult
pvalue,0.3394923
mouse_strain,C57BL
gene_symbol,Steap3
parameter_name,Heart looping
gene_accession_id,MGI:1915678
parameter_id,IMPC_GEL_057_001
