pvalue,0
gene_symbol,Bach2
parameter_name,Follicular B cells - % of B2 cells
gene_accession_id,MGI:894679
analysis_id,rij13kp4830nos1
mouse_strain,C57BL
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
