analysis_id,3c632mn4w0q278h
parameter_id,MGP_IMM_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685266
parameter_name,Resting Treg cells - % of Treg
pvalue,0.06299661
gene_symbol,Pglyrp3
