parameter_name,Eosinophil differential count
mouse_strain,C57BL
gene_symbol,Rab3gap2
pvalue,0.7897806
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_035_001
analysis_id,7w29931f226q0nm
gene_accession_id,MGI:1916043
