analysis_id,5j7503441293786
parameter_name,Percentage center time
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
parameter_id,JAX_OFD_022_001
mouse_strain,C57BL
pvalue,0.3229421
