gene_symbol,ATG4C
gene_accession_id,MGI:2651854
analysis_id,6s2874689sd177q
parameter_id,MGP_PBI_011_001
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell percentage
pvalue,0.6802286
mouse_life_stage,Early adult
