analysis_id,36u08t08l9dg9n5
Gene_accession_id,MGI:3588214
pvalue,0.2739631
Gene_symbol,Rufy4
Mouse_strain,C57BL
Mouse_life_stage,Early adult
Parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
