analysis_id,k50k8170k7l6p70
gene_accession_id,MGI:1913105
mouse_strain,C57BL
pvalue,0.5966153
parameter_name,BMC/Body weight
gene_symbol,Slc28a2
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_007_001
