parameter_name,Humerus
gene_symbol,Pglyrp3
analysis_id,ukik5d8746x3355
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8428029
gene_accession_id,MGI:2685266
