parameter_name,B cell number
gene_symbol,Wars2
parameter_id,MGP_PBI_034_001
pvalue,0.3572981
gene_accession_id,MGI:1917810
mouse_strain,C57BL
analysis_id,89b82x4qp86p2o7
mouse_life_stage,Early adult
