parameter_name,Cholesterol ratio
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
pvalue,0.3131663
gene_symbol,Kdm4c
parameter_id,IMPC_CBC_058_001
analysis_id,eo0l4l4kqvza0m4
