analysis_id,z2hs3l1n3306ny3
gene_symbol,Traf6
mouse_strain,C57BL
pvalue,0.6228653
parameter_name,Skull shape
mouse_life_stage,Early adult
parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:108072
