analysis_id,gh1f7h0xk1171w2
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
parameter_name,Iron
pvalue,0.06924051
gene_symbol,Lcn2
mouse_strain,C56BL
