analysis_id,0f02js8z86a032y
mouse_life_stage,Early adult
gene_symbol,Bach2
parameter_id,IMPC_GEL_027_001
pvalue,0.6885396
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_name,Neural tube closure
