gene_symbol,Cd52
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - Global
mouse_life_stage,Early adult
pvalue,0.9902939
analysis_id,32i34q00y2vr263
parameter_id,IMPC_ACS_037_001
gene_accession_id,MGI:1346088
