analysis_id,7e93k3wvy4v7307
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
gene_accession_id,MGI:1913838
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.139605
gene_symbol,Cmpk1
