parameter_name,Neural tube closure
mouse_strain,C57BL
analysis_id,3b18w1h706utjwi
mouse_life_stage,E9.5
pvalue,0.9438275
gene_symbol,AHCY
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:87968
