analysis_id,105j65e6trdt71x
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
pvalue,0.6210804
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
