parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ddx27
pvalue,0.4500202
analysis_id,15cgw6z00z263x2
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:2385884
