analysis_id,3tp70vx01qh5c80
gene_symbol,Atrn
parameter_name,DN CD44+CD62L- NKT cells
gene_accession_id,MGI:1341628
pvalue,0.2459106
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
