analysis_id,a1x58soler99u5p
parameter_id,MGP_MLN_067_001
mouse_life_stage,E12.5
pvalue,0.9787663
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
