parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:95835
parameter_name,Total food intake
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.2569044
analysis_id,s2p195f3q0j1std
gene_symbol,Hspa5
