parameter_name,Neutrophil differential count
analysis_id,fn260gk86863007
gene_symbol,Ints7
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4441932
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:1924315
